source_image,cropped_image,ocr_zoom_image,crop_status,duplicate_of,reporting_marks,road_name,road_number,full_name,car_type,car_class,color,capy_lbs,ld_lmt_lbs,lt_wt_lbs,built,roster_id,roster_road,roster_length_ft,roster_weight_oz,roster_weight_tons,ocr_text,match_confidence,notes
IMG_9117.png,CarImagesCardFill/IMG_9117.png,OcrZoom/OCR_IMG_9117.png,ok,,KSMX,KSMX,105,,Hopper,LO,Gray,140000,157500,52500,10-47,KSMX105,KSMX,34,3.3,66,"5 PS ME, ' - 7M = FE . I T : CIN BRUTE G : * . “ “ ' “A 3 1- SO > 7? A AS RE ‘ . WIG"" BF A: EE PES 7 , , : : AE A HY) 4 * \ IN VERE > - PAST A ; AS DINE RAE NET OVEN! ME: BES FEAR BAE 1 = =* . ONE SIA 3 + % A . H . A . : , “AL REPORT ILAND: | A 1 HY 1 E: SH IE APA IO ET 4 SJ A RICE ETER OG L EE TE NFTES N . | | +H = EAE PECT AN 2 RS . . ~ OT ‘ = } ' A + \ EO PONY SSE OY - = . ' * . 7 / FT C ‘ 1 A,",visual_review,final_ref=CarImagesFinal/IMG_9117.png; Kosmos Portland cement hopper
IMG_9118.png,CarImagesCardFill/IMG_9118.png,OcrZoom/OCR_IMG_9118.png,ok,,B&O,B&O,631140,,Hopper,LO,Gray,454000,168100,,,BO631140,BO,34,3.3,66,MEE | AREAL YEA - EA RY AL : ; FE ; 5 | ; I ; | | | | | OY 1 ROK P PAN | F- S ; OE : | EE | 1631 140 - I GAPY 454000 LO : A BI --! LD LMT 168100 | LR | RER” TSOO AWE EE TT HL BAKE «IE ETARY: WR - —— SS IE I. SF . — — SE EE REE ———— . ES —F — A: ELE ~ SQHECEENEE SAS # TT: — \ WS A _ - OT HEER — LAKE WS CT SE SE NESSA OE A RO — SERRA < SSE. ‘ —- WATE ACNE TE ——————’ — A = - << _- — —— —— — X I 3 - E,visual_review,final_ref=CarImagesFinal/IMG_9118.png
IMG_9119.png,CarImagesCardFill/IMG_9119.png,OcrZoom/OCR_IMG_9119.png,ok,,B&O,B&O,600421,,Hopper,LO,Gray,200000,204500,58500,8-66,BO600421,BO,40,3.8,76,"~_— EE, . AIG, <TE , =” - — . . I"" ’ ES T R 1 ° “ ? . ’ MO “R: [A A IE BS AE: : K OE OZS OPIE: . ONT A ES F TE): NERITE AINT Y : 1 7 —_ D AE SANDE ETE ET ET A FAYE A! SSLENE TE RF AE =>,0, ERE WN ‘ RE ES * AN AE EES A A A I RT ——= = — ~ _- — =E “\- RY N VEA R - — —.-- —- RD RG 7 HW -_—- = OO _— AA NS ~ 4 ——T — — —— — “=> —— — —-——_—_ —S —_—— HES SS = “ == = RE OO SA = EE EE RSG TS VEOH WATE - - AA",visual_review,final_ref=CarImagesFinal/IMG_9119.png
IMG_9120.png,CarImagesCardFill/IMG_9120.png,OcrZoom/OCR_IMG_9120.png,ok,,CB&Q,CB&Q,171856,,Hopper,HT,Black,140000,162800,47200,1-62,CBQ171856,CBQ,40,3.8,76,"| ———— EE | | |_| IE. L H BX A CAPACITY (40D0RO HT LOAD LIMIF 167800 | 1 7 1 A S G LICST WT 477O CHT I -B? NS 5S ; = ‘AR Y D | AUDINETON | UTIIN ETON AT , ; —————— | | NOUTE OF . MB. CH4&Q COAD LM 167600 THE ZEPHYAS A! I 1 7 1 | 5 B LICHT WT A7V¥O CONT ID? CRS . 7 | PO ¥ G ~~ ~ A , PIS AP AE. A. | ~ A",visual_review,final_ref=CarImagesFinal/IMG_9120.png; Burlington Route hopper
IMG_9121.png,CarImagesCardFill/IMG_9121.png,OcrZoom/OCR_IMG_9121.png,ok,,UTLX,UTLX,39042,,Tank,,Black,110000,,44900,4-49,UTLX39042,UTLX,40,3.8,76,"( 4 ~ —EEES ) | , } _ EE ; A | OS A ATH OE EE — EY I .! - 4 J OS PE \ 1 ) 7 A EE _ MATTIS, — SEE EE EE — — - = A — ——-* AE IOE PORY ERA) »",visual_review,final_ref=CarImagesFinal/IMG_9121.png; Union Tank Car
IMG_9122.png,CarImagesCardFill/IMG_9122.png,OcrZoom/OCR_IMG_9122.png,ok,,C&O,C&O,2052,,Hopper,LO,Yellow,154000,157800,62200,1-81,CO2052,CO,40,3.8,76,"- PE ==> LAT A A ' F F ; . —* = ; ; , . { _ . _: : . ; A ——_ —— 7 IN AS ——— _ - — — = TE NE TT | $ I ; 1 L I __ ~ . . HE PIN WE (I LY LE , YYY US F I ; * I HESE 4 : : WE ER PRT = A. ALL Q I, YE A = ; URE VAT IN & KR? 7 BL , : REER, E + 7 ~— __! EN ES EES, A I — —— ——— = -—- ——— -_—- I | E A — I & T EE VAR A\ : CE AS _A— <A . WIT A = = = ~ —— —_—_—_- -RORR- — CP EE EE 7 ; _. -_ — —- - — . A A _ — —",visual_review,final_ref=CarImagesFinal/IMG_9122.png; Chessie System covered hopper; Chessie System C&O 2052 covered hopper
IMG_9124.png,CarImagesCardFill/IMG_9124.png,OcrZoom/OCR_IMG_9124.png,ok,,B&O,B&O,628038,,Hopper,LO,Yellow,154000,157800,62200,5-78,BO628038,BO,40,3.8,76,"™ . . EE + MY : 7 WW . “ PAT ¥ V | A * SEE A ————_—_——$= ——————— SE A . . 7 —— EEE A OE: ; K OS "" I 3 ; GE EI E % ; Y OS . ' - I “J Y —— OF IE: _ = - 7 . ROM | “D : [ ' A _ YS —! . _ EE A ; A 4 CI: MI TORIECMINMES I AE. AA, IE EE EE << CECE = IAICE EEE EE OY EE A | I 5 [ A ——. -_ A = ; 4 - ES — — —— _— -- AE -—O ~ IY .- — WA: : PR — — —E A = ~«",visual_review,final_ref=CarImagesFinal/IMG_9124.png; Chessie System B&O hopper
IMG_9125.png,CarImagesCardFill/IMG_9125.png,OcrZoom/OCR_IMG_9125.png,ok,,NYC,NYC,47516,,Boxcar,XM,Green,90000,101900,67100,10-60,NYC47516,NYC,50,4.4,88,"OS SE EE EE OK EE A 606-5 CMYYY 10 7 MR 14-0 AD 9S BI IGA F> | GO FR 1P-4 @ 10 BIND MIT 5O #0 IVY OE | CURVY 4G4E JL 5 HA EE . = A. YEE I RE A A | DE 7 ME GE | RN I ED WQVR=_ =~ S96E-B _— CU VY IO F ME 54° RV AC WW ES P=] IG A APY S0000 «KAT RN IA AO I IM E@ 50 LO INTR 1O19S00 £3 MUTT FO 8A IV , ER | CUR TY 4946 LR WAT 67 1 RATS) MEW £0 60 AQ A A ’ _I\ I = __ - —__—",visual_review,final_ref=CarImagesFinal/IMG_9125.png; NYC jade green boxcar
IMG_9126.png,CarImagesCardFill/IMG_9126.png,OcrZoom/OCR_IMG_9126.png,ok,,RMLI,RMLI,2018,,Boxcar,,Blue,,,,,RMLI2018,RMLI,,,,ES. EEE O—=E=SSSSA ARE PRESERVE LONG ISLAND & PENNSYLVANIA RAILROADING HISTORY : SUPPORT THE RESTORATION OF STEAM LOCOMOTIVE 739 : IS ‘ - ' WEE ET EE ONS LIRR « : GJ L JOINT PROTECT OF THE STRASSLRS BAT AOAP CD | PRESERVE LONG ISLAND & PENNSYLVANIA RAILROADING HISTORY 1190) AND THE RATLROAD MUSEUM CF ONG TSAND SO SUPPORT THE RESTORATION OF STEAM LOCOMOTIVE 739 —==_ = =— . —— ~~,visual_review,final_ref=CarImagesFinal/IMG_9126.png; RMLI Steam Up promotional boxcar; not in car roster
IMG_9127.png,CarImagesCardFill/IMG_9127.png,OcrZoom/OCR_IMG_9127.png,ok,,B&O,B&O,371604,,Gondola,GB,Gray,140000,154600,56600,11-51,BO371604,BO,50,4.4,88,"PEN NSY LVA NTA 371 604 CAPY 140000 LT WT 56600 LD LMT 154600 NEW 11-51 — 4 JE EE EE OO _ = — EE A PEN NSY LVA NIA 371 604 A CAPY 140000 LT WT 56600 CU. FY. 2360 LD LMT 164600 NEW 11-51 — = G3IC = EEE. SEE ———O~""—‘ILCUN “ ) UA,",visual_review,final_ref=CarImagesFinal/IMG_9127.png; PRR gondola relettered B&O
